GSW	1	Golden Gate Grid	Fundada en 1987 por un grupo de ingenieros eléctricos que trabajaron en el mantenimiento del puente Golden Gate. Hoy es la eléctrica regional que suministra energía a media Bahía, con una flota de torres de alta tensión pintadas del mismo naranja internacional del puente.
GSW	2	FogCity Fiber	Empresa de telecomunicaciones lanzada en 2011 en un garaje de SoMa. Su eslogan original, "más rápido que la niebla", se convirtió en la campaña que la hizo famosa; hoy tiende fibra óptica por todo el norte de California.
GSW	3	Mission Market	Puesto de burritos familiar abierto en 1974 en el Distrito de la Misión, ahora convertido en cadena regional de comida rápida mexicana con más de 40 locales.
GSW	4	Bay Bytes Bank	Fintech fundada en 2015 por antiguos empleados de bancos de inversión de la bahía, especializada en préstamos para startups tecnológicas.
GSW	5	Alcatraz Apps	Estudio de software fundado en 2009 que desarrolla aplicaciones de seguridad y ciberdefensa; su nombre juega con la idea de un sistema "imposible de hackear, como la prisión".
GSW	6	Cable Car Cola	Embotelladora fundada en 1962 que homenajea los icónicos tranvías de la ciudad; sus latas antiguas de coleccionista se venden hoy como reliquia local.
GSW	7	Painted Ladies Paint	Empresa familiar de pinturas fundada en 1968, especializada en los tonos pastel históricos de las casas victorianas de Alamo Square.
GSW	9	Coit Tower Light	Compañía eléctrica boutique fundada en 1995, especializada en iluminación arquitectónica de monumentos y edificios históricos.
GSW	10	Lombard Loops	Startup de movilidad urbana fundada en 2018 que diseña rutas turísticas en bicicleta eléctrica por las calles más empinadas de la ciudad.
GSW	11	Ferry Clock Credit	Cooperativa de crédito fundada en 1930 cerca del Ferry Building, que originalmente prestaba dinero a estibadores y pescadores del puerto.
GSW	12	Chinatown Gate Co	Importadora y distribuidora mayorista fundada en 1955 por una familia inmigrante, proveedora de mercancía para los comercios del barrio chino más antiguo de EE.
GSW	13	Sourdough Steam	Panadería artesanal fundada en 1889, heredera de la receta original de masa madre que trajeron los buscadores de oro de la Fiebre de 1849.
GSW	14	Sea Lion Solar	Empresa de energía solar fundada en 2012, cuyo nombre rinde homenaje a los leones marinos que colonizaron el muelle 39 en los noventa.
GSW	15	Twin Peaks Transit	Operador de transporte público fundado en 1948, encargado históricamente de las líneas de tranvía que suben las colinas más pronunciadas de la ciudad.
TOR	1	CN Grid Energy	Compañía eléctrica fundada en 1976, el mismo año de inauguración de la Torre CN, responsable del suministro energético del distrito financiero.
TOR	2	Maple Circuit	Empresa de semiconductores fundada en 2001 en Waterloo, célebre por fabricar los primeros microchips "hechos en Canadá".
TOR	3	Harbourfront Hydro	Utility hidroeléctrica fundada en 1922, que aprovecha las corrientes del lago Ontario para abastecer los muelles del puerto.
TOR	4	Distillery Drafts	Cervecería artesanal instalada en 1998 en los antiguos edificios de ladrillo del Distillery District, reconvertidos de una destilería de whisky del siglo XIX.
TOR	5	T-Dot Transit+	Operador de transporte metropolitano fundado en 1954, apodado con el mote callejero "T-Dot" que los propios torontonianos usan para su ciudad.
TOR	7	Bay Street Bullion	Casa de inversión fundada en 1978 en el corazón del distrito financiero de Bay Street, el "Wall Street canadiense".
TOR	8	Kensington Market	Colectivo de comerciantes fundado en 1911 por inmigrantes judíos y portugueses, hoy un mercado multicultural icónico de la ciudad.
TOR	9	Casa Loma Stone	Empresa de cantería y restauración fundada en 1937, especializada en la conservación del castillo gótico Casa Loma y otras edificaciones históricas.
TOR	10	Queen West Quilt	Taller textil y de moda fundado en 2007 en el barrio bohemio de Queen West, cuna de diseñadores independientes canadienses.
TOR	11	Scarborough Bluffs	Empresa de turismo de naturaleza fundada en 1985, dedicada a excursiones guiadas por los acantilados de arcilla más famosos de la ciudad.
TOR	12	High Park Cherry	Productora de bebidas fundada en 1999, célebre por su edición de temporada inspirada en los cerezos en flor de High Park.
TOR	13	St Lawrence Peameal	Charcutería histórica fundada en 1803, la más antigua del mercado St. Lawrence, inventora del clásico sándwich de bacon peameal.
TOR	15	Don Valley Brickworks	Fábrica de ladrillos fundada en 1889 en la cantera del valle Don, que suministró el material de construcción de medio Toronto antiguo.
UTA	1	Wasatch Watts	Cooperativa eléctrica de montaña fundada en 1964, que aprovecha la nieve derretida de la cordillera Wasatch para generar energía hidroeléctrica.
UTA	2	Great Salt Grid	Empresa de minerales industriales fundada en 1930, que extrae y procesa sal del Gran Lago Salado para uso energético y comercial.
UTA	3	Temple Square Tea	Casa de infusiones fundada en 1978, ubicada cerca de las icónicas torres del templo, especializada en tés herbales sin cafeína.
UTA	4	Powder Basin Gear	Marca de equipamiento de esquí fundada en 1985, nacida entre las estaciones de nieve en polvo que hicieron famosa la región.
UTA	5	Beehive Bank	Banco fundado en 1896, cuyo nombre y logo homenajean el símbolo pionero de la colmena que representa la industriosidad del estado de Utah.
UTA	6	Canyon Cola	Embotelladora regional fundada en 1958, inspirada en los cañones rojizos del desierto que rodean la ciudad.
UTA	7	Bonneville Speed	Fabricante de vehículos eléctricos de alto rendimiento fundado en 2016, que realiza pruebas de velocidad en las salinas de Bonneville.
UTA	8	Alta Alpine Oats	Empresa de alimentación saludable fundada en 2010, productora de avenas y cereales inspirados en los prados alpinos de Alta.
UTA	10	Red Butte Botanical	Jardín botánico y vivero fundado en 1961, dedicado a la conservación de flora nativa del desierto de Utah.
UTA	12	Zion Trail Tech	Startup de cartografía GPS fundada en 2014, especializada en rutas de senderismo por los parques nacionales del estado.
UTA	13	Sugar House Sweets	Confitería histórica fundada en 1908 en el barrio de Sugar House, herencia de una antigua fábrica de azúcar de remolacha.
UTA	14	Liberty Park Paddles	Empresa de ocio acuático fundada en 1975, operadora de botes de remo en el lago del parque Liberty.
UTA	15	Oquirrh Optical	Fabricante de lentes de precisión fundado en 1992, nombrado por la cordillera Oquirrh que enmarca el valle por el oeste.
WAS	1	Capitol Current DC	Compañía eléctrica federal fundada en 1932, proveedora histórica de energía a los edificios gubernamentales del National Mall.
WAS	2	Potomac Power Bank	Banco de inversión fundado en 1901 a orillas del río Potomac, especializado en financiar infraestructuras públicas.
WAS	3	Mall Mile Media	Agencia de publicidad fundada en 1994, célebre por sus campañas visibles a lo largo de la milla que separa el Capitolio del monumento a Lincoln.
WAS	4	Cherry Blossom Chips	Marca de snacks fundada en 1965, lanzada para coincidir con el festival anual de los cerezos en flor de la ciudad.
WAS	5	Beltway Bolts	Taller mecánico y de repuestos fundado en 1971, nombrado por la autopista de circunvalación I-495 que rodea la capital.
WAS	6	Monument Mint	Compañía farmacéutica fundada en 1958, especializada en productos de bienestar y salud básica.
WAS	7	Georgetown Gowns	Casa de moda fundada en 1949 en el histórico barrio de Georgetown, proveedora de vestidos de gala para eventos diplomáticos.
WAS	9	Metro Motion	Operador del metro fundado en 1976, el mismo año de inauguración del sistema de transporte subterráneo de la ciudad.
WAS	10	Tidal Basin Boats	Empresa de alquiler de embarcaciones fundada en 1920, operando botes de pedal en la cuenca frente al monumento a Jefferson.
WAS	11	Adams Morgan Arts	Colectivo cultural fundado en 1991, motor de festivales multiculturales en uno de los barrios más diversos de la capital.
WAS	12	Lincoln Ledger	Firma de contabilidad fundada en 1922, en el año de inauguración del monumento a Lincoln que inspira su nombre.
WAS	13	Dupont Drinks	Compañía de bebidas fundada en 1977, con sede junto a la histórica fuente de Dupont Circle.
WAS	14	Eastern Market Eats	Mercado de alimentos fundado en 1873, el más antiguo en funcionamiento continuo de la ciudad.
WAS	15	Anacostia Roots	Organización de conservación ambiental fundada en 2003, dedicada a la restauración de los humedales del río Anacostia.
SAS	1	Alamo Alloy	Fundición metalúrgica fundada en 1926, cercana al histórico fuerte de El Álamo, proveedora de estructuras de acero para toda la región.
SAS	2	Riverwalk Roasts	Cafetería fundada en 1968 a orillas del célebre Paseo del Río, primera terraza flotante de café de la ciudad.
SAS	3	Spurside Steel	Fábrica de herrajes fundada en 1954, especializada en espuelas y accesorios de montar de estilo vaquero tradicional.
